,Mon,Tue,Wed,Thu,Fri
7:00 AM,55,5,0,45,10
8:00 AM,10,5,25,5,20
9:00 AM,0,10,15,10,5
10:00 AM,15,0,0,15,0
11:00 AM,1,35,0,0,0
12:00 PM,0,55,5,10,30
1:00 PM,20,0,10,5,0
2:00 PM,0,5,10,10,45
3:00 PM,0,20,5,0,0
4:00 PM,0,60,20,5,60
5:00 PM,15,0,5,0,0
6:00 PM,20,0,5,10,5
7:00 PM,5,20,30,0,10
8:00 PM,0,10,10,15,20
9:00 PM,15,30,0,0,0
10:00 PM,10,0,0,5,20
11:00 PM,10,20,5,20,10
12:00 AM,60,0,20,60,5
1:00 AM,5,0,0,10,15
2:00 AM,0,0,5,0,0
3:00 AM,0,0,0,0,0
4:00 AM,0,0,0,0,0
5:00 AM,0,5,0,0,0
6:00 AM,0,0,0,0,0